id,title,location_id,location_name,location_slug,city,property_type,area_sqft,bedrooms,bathrooms,property_age,floor_number,total_floors,amenities,amenity_count,has_parking,has_power_backup,has_security,has_gym,has_pool,has_clubhouse,lat,lng,base_micro_price_sqft,fair_value_sqft,fair_value_total,current_price,monthly_rent,rental_yield,infra_score,flood_risk_score,demand_index,supply_index,selling_days,status,listed_date
1645,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1725,3,2,2,11,14,"[""Clubhouse"", ""Gymnasium"", ""EV Charging Station""]",3,False,False,False,True,False,True,13.0518,80.17042,6400,6371,10989975,11869173,39381,4.3,85,42,81,58,65,Active,2026-03-27
1646,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1017,2,2,1,8,11,"[""Intercom""]",1,False,False,False,False,False,False,12.99228,80.24259,15800,16280,16556760,17384598,35873,2.6,93,38,88,38,42,Active,2026-03-14
1647,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,999,2,2,15,7,12,"[""EV Charging Station""]",1,False,False,False,False,False,False,13.01768,80.24753,15800,14515,14500485,14790495,31418,2.6,93,38,88,38,42,Active,2026-02-19
1648,3 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,1346,3,3,12,4,11,"[""Rainwater Harvesting"", ""24/7 Security""]",2,False,False,True,False,False,False,12.91804,80.18999,5400,4817,6483682,6613356,21612,4.0,80,52,82,64,70,Active,2026-04-09
1649,1 BHK Gated Community Apartment in Guindy,6,Guindy,guindy,Chennai,Gated Community Apartment,670,1,1,0,19,22,"[""Swimming Pool"", ""Gymnasium"", ""Rainwater Harvesting"", ""24/7 Security"", ""Children Play Area"", ""Covered Car Parking"", ""Clubhouse""]",7,True,False,True,True,True,True,13.01533,80.20897,11500,15458,10356860,10563997,33660,3.9,96,30,78,45,52,Sold,2026-01-18
1650,4 BHK Independent House in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Independent House,2494,4,4,5,1,1,"[""Intercom""]",1,False,False,False,False,False,False,13.07997,80.22039,14200,13443,33526842,35203184,78229,2.8,94,22,86,42,48,Active,2026-05-10
1651,2 BHK Gated Community Apartment in Porur,5,Porur,porur,Chennai,Gated Community Apartment,1000,2,2,9,9,16,"[""Rainwater Harvesting"", ""EV Charging Station"", ""Covered Car Parking"", ""Power Backup"", ""Gymnasium"", ""24/7 Security""]",6,True,True,True,True,False,False,13.04051,80.15217,6400,6990,6990000,6990000,25048,4.3,85,42,81,58,65,Active,2026-04-11
1652,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1636,3,2,1,4,20,"[""Clubhouse"", ""Gymnasium""]",2,False,False,False,True,False,True,13.00671,80.25295,15800,15767,25794812,26310708,55889,2.6,93,38,88,38,42,Active,2026-04-24
1653,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1926,3,2,6,5,8,"[""EV Charging Station"", ""Gymnasium"", ""Rainwater Harvesting"", ""Swimming Pool"", ""Clubhouse""]",5,False,False,False,True,True,True,12.85218,80.24003,9200,9245,17805870,18696164,47482,3.2,75,68,69,52,90,Active,2026-03-11
1654,4 BHK Villa in Velachery,2,Velachery,velachery,Chennai,Villa,3044,4,4,7,1,3,"[""Clubhouse"", ""Intercom"", ""Children Play Area"", ""24/7 Security"", ""Swimming Pool"", ""Covered Car Parking"", ""Gymnasium"", ""Rainwater Harvesting""]",8,True,False,True,True,True,True,12.97496,80.22132,7800,9725,29602900,29010842,113478,4.6,82,78,79,62,75,Active,2026-02-17
1655,2 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1072,2,2,2,4,21,"[""Power Backup"", ""EV Charging Station"", ""Gymnasium"", ""Clubhouse"", ""Children Play Area""]",5,False,True,False,True,False,True,12.85322,80.25452,9200,9403,10080016,10584017,26880,3.2,75,68,69,52,90,Sold,2026-07-01
1656,4 BHK Villa in T. Nagar,12,T. Nagar,t-nagar,Chennai,Villa,4546,4,4,1,1,2,"[""EV Charging Station"", ""Swimming Pool"", ""Covered Car Parking"", ""Clubhouse"", ""Gymnasium""]",5,True,False,False,True,True,True,13.04755,80.24866,14800,20464,93029344,97680811,263583,3.4,95,40,85,36,45,Active,2026-04-19
1657,2 BHK Gated Community Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Gated Community Apartment,1041,2,2,10,6,6,"[""Intercom"", ""Rainwater Harvesting"", ""Swimming Pool"", ""Children Play Area"", ""Covered Car Parking"", ""Power Backup"", ""EV Charging Station""]",7,True,True,False,False,True,False,13.07532,80.21614,14200,16460,17134860,18505649,39981,2.8,94,22,86,42,48,Active,2026-02-22
1658,1 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,710,1,1,7,1,7,"[""Gymnasium"", ""Swimming Pool"", ""Power Backup"", ""Children Play Area"", ""24/7 Security""]",5,False,True,True,True,True,False,12.93437,80.1905,5400,5325,3780750,3705135,12602,4.0,80,52,82,64,70,Active,2026-04-10
1659,4 BHK Villa in Tambaram,3,Tambaram,tambaram,Chennai,Villa,3490,4,4,1,1,3,"[""Children Play Area"", ""Swimming Pool"", ""Intercom""]",3,False,False,False,False,True,False,12.92625,80.1249,5100,6801,23735490,25634329,75162,3.8,79,32,84,54,60,Active,2026-07-18
1660,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1405,3,2,1,6,13,"[""24/7 Security"", ""Power Backup""]",2,False,True,True,False,False,False,12.98289,80.22183,7800,8059,11322895,12228727,43404,4.6,82,78,79,62,75,Active,2026-04-03
1661,3 BHK Gated Community Apartment in Guindy,6,Guindy,guindy,Chennai,Gated Community Apartment,1823,3,3,12,7,10,"[""EV Charging Station"", ""Gymnasium"", ""Power Backup""]",3,False,True,False,True,False,False,13.02611,80.20634,11500,11739,21400197,23112213,69551,3.9,96,30,78,45,52,Active,2026-06-20
1662,3 BHK Gated Community Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Gated Community Apartment,1494,3,3,1,10,11,"[""Swimming Pool"", ""Covered Car Parking"", ""Intercom"", ""Children Play Area"", ""Power Backup"", ""Rainwater Harvesting"", ""Clubhouse""]",7,True,True,False,False,True,True,12.92574,80.18859,5400,6484,9687096,10462064,32290,4.0,80,52,82,64,70,Active,2026-04-22
1663,1 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,605,1,1,7,13,16,"[""EV Charging Station"", ""Clubhouse"", ""Covered Car Parking"", ""Intercom"", ""Swimming Pool""]",5,True,False,False,False,True,True,13.09871,80.22359,14200,14427,8728335,8379202,20366,2.8,94,22,86,42,48,Active,2026-02-13
1664,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1417,3,2,5,16,19,"[""Swimming Pool"", ""Clubhouse"", ""Children Play Area"", ""EV Charging Station""]",4,False,False,False,False,True,True,13.01694,80.25619,15800,16281,23070177,24915791,49985,2.6,93,38,88,38,42,Active,2026-01-11
1665,2 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,1116,2,2,8,4,6,"[""Gymnasium"", ""Children Play Area"", ""Rainwater Harvesting""]",3,False,False,False,True,False,False,13.09358,80.20954,14200,14167,15810372,15177957,36891,2.8,94,22,86,42,48,Active,2026-05-23
1666,4 BHK Gated Community Apartment in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Gated Community Apartment,2331,4,3,9,9,14,"[""24/7 Security"", ""Swimming Pool"", ""Covered Car Parking"", ""Intercom"", ""Children Play Area""]",5,True,False,True,False,True,False,12.87737,80.22277,6100,6979,16268049,15942688,59650,4.4,84,62,72,78,105,Active,2026-05-01
1667,2 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,959,2,2,4,3,4,"[""Children Play Area"", ""Power Backup"", ""Rainwater Harvesting"", ""Gymnasium""]",4,False,True,False,True,False,False,12.92438,80.1169,5100,5160,4948440,5195862,15670,3.8,79,32,84,54,60,Active,2026-03-21
1668,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1744,3,2,7,19,20,"[""Covered Car Parking"", ""Power Backup"", ""Swimming Pool"", ""24/7 Security"", ""Intercom""]",5,True,True,True,False,True,False,13.03248,80.16547,6400,6849,11944656,12541889,42802,4.3,85,42,81,58,65,Active,2026-04-16
1669,2 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,1237,2,2,0,21,23,"[""Clubhouse"", ""Rainwater Harvesting"", ""24/7 Security"", ""EV Charging Station"", ""Children Play Area""]",5,False,False,True,False,False,True,12.91373,80.18933,5400,6275,7762175,7917418,25874,4.0,80,52,82,64,70,Active,2026-07-11
1670,2 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1211,2,2,14,6,11,"[""EV Charging Station"", ""Gymnasium""]",2,False,False,False,True,False,False,13.01487,80.21399,11500,9602,11628022,11860582,37791,3.9,96,30,78,45,52,Sold,2026-02-01
1671,4 BHK Gated Community Apartment in Adyar,11,Adyar,adyar,Chennai,Gated Community Apartment,2825,4,3,12,7,7,"[""24/7 Security"", ""Swimming Pool"", ""Power Backup"", ""Clubhouse"", ""Gymnasium"", ""Rainwater Harvesting"", ""Intercom"", ""Children Play Area""]",8,False,True,True,True,True,True,13.00045,80.2507,15800,16675,47106875,48049012,102065,2.6,93,38,88,38,42,Sold,2026-04-15
1672,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1804,3,2,12,4,11,"[""EV Charging Station"", ""Rainwater Harvesting"", ""Swimming Pool""]",3,False,False,False,False,True,False,13.00299,80.24093,15800,14045,25337180,25337180,54897,2.6,93,38,88,38,42,Sold,2026-06-01
1673,2 BHK Independent House in Perungudi,10,Perungudi,perungudi,Chennai,Independent House,1561,2,2,8,1,2,"[""Children Play Area"", ""Swimming Pool"", ""Clubhouse"", ""24/7 Security"", ""Gymnasium""]",5,False,False,True,True,True,True,12.95905,80.23609,7500,7716,12044676,12285570,45168,4.5,86,58,77,60,72,Sold,2026-03-26
1674,4 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,2268,4,3,7,6,24,"[""Rainwater Harvesting""]",1,False,False,False,False,False,False,12.92998,80.12656,5100,4638,10518984,10098225,33310,3.8,79,32,84,54,60,Active,2026-03-15
1675,3 BHK Villa in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Villa,3299,3,3,1,1,3,"[""Swimming Pool"", ""EV Charging Station""]",2,False,False,False,False,True,False,12.91276,80.22499,6100,7977,26316123,28421413,96492,4.4,84,62,72,78,105,Active,2026-06-09
1676,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1443,3,3,7,13,15,"[""Gymnasium"", ""Swimming Pool"", ""EV Charging Station"", ""Covered Car Parking"", ""24/7 Security""]",5,True,False,True,True,True,False,12.99944,80.227,7800,8368,12075024,12075024,46288,4.6,82,78,79,62,75,Sold,2026-06-05
1677,3 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,1837,3,3,4,4,4,"[""24/7 Security"", ""Children Play Area"", ""Power Backup"", ""Gymnasium""]",4,False,True,True,True,False,False,12.92562,80.12533,5100,5337,9804069,9607988,31046,3.8,79,32,84,54,60,Active,2026-04-27
1678,3 BHK Apartment in Porur,5,Porur,porur,Chennai,Apartment,1469,3,3,6,3,4,"[""Children Play Area"", ""Gymnasium""]",2,False,False,False,True,False,False,13.03834,80.16619,6400,6058,8899202,8543234,31889,4.3,85,42,81,58,65,Active,2026-05-02
1679,3 BHK Villa in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Villa,3767,3,3,1,1,3,"[""Children Play Area"", ""Power Backup"", ""Swimming Pool"", ""Intercom"", ""EV Charging Station"", ""Gymnasium"", ""Rainwater Harvesting""]",7,False,True,False,True,True,False,12.88829,80.22215,6200,8321,31345207,31972111,107096,4.1,88,45,68,82,115,Active,2026-02-02
1680,3 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,1312,3,3,13,7,11,"[""Gymnasium"", ""Covered Car Parking""]",2,True,False,False,True,False,False,12.91832,80.1172,5100,4620,6061440,5940211,19195,3.8,79,32,84,54,60,Active,2026-05-19
1681,3 BHK Villa in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Villa,4104,3,3,9,1,3,"[""Swimming Pool"", ""Rainwater Harvesting"", ""Gymnasium"", ""Power Backup""]",4,False,True,False,True,True,False,12.8766,80.2397,6200,7581,31112424,30490176,106301,4.1,88,45,68,82,115,Sold,2026-07-19
1682,3 BHK Villa in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Villa,4089,3,3,9,1,2,"[""Gymnasium"", ""Power Backup"", ""Swimming Pool"", ""Covered Car Parking"", ""Intercom""]",5,True,True,False,True,True,False,12.89555,80.22625,6200,7054,28843806,28266930,98550,4.1,88,45,68,82,115,Sold,2026-01-07
1683,4 BHK Independent House in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Independent House,1268,4,4,18,1,3,"[""Gymnasium"", ""Children Play Area"", ""EV Charging Station"", ""Rainwater Harvesting""]",4,False,False,False,True,False,False,12.85271,80.24006,9200,7255,9199340,9015353,24532,3.2,75,68,69,52,90,Sold,2026-07-27
1684,2 BHK Gated Community Apartment in Porur,5,Porur,porur,Chennai,Gated Community Apartment,1213,2,2,13,12,12,"[""Gymnasium"", ""EV Charging Station"", ""Rainwater Harvesting"", ""24/7 Security"", ""Intercom"", ""Children Play Area"", ""Swimming Pool"", ""Covered Car Parking""]",8,True,False,True,True,True,False,13.0465,80.16261,6400,6468,7845684,7531857,28114,4.3,85,42,81,58,65,Active,2026-03-08
1685,1 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,557,1,1,9,5,11,"[""Clubhouse"", ""Covered Car Parking""]",2,True,False,False,False,False,True,12.93049,80.1949,5400,4877,2716489,2662159,9055,4.0,80,52,82,64,70,Sold,2026-04-01
1686,2 BHK Gated Community Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Gated Community Apartment,959,2,2,2,9,22,"[""Swimming Pool"", ""24/7 Security"", ""Intercom""]",3,False,False,True,False,True,False,12.92175,80.11223,5100,5487,5262033,5682996,16663,3.8,79,32,84,54,60,Active,2026-07-27
1687,4 BHK Independent House in Sholinganallur,8,Sholinganallur,sholinganallur,Chennai,Independent House,2639,4,4,2,1,3,"[""Clubhouse"", ""Children Play Area""]",2,False,False,False,False,False,True,12.90217,80.2309,6100,6428,16963492,18320571,62199,4.4,84,62,72,78,105,Active,2026-03-04
1688,3 BHK Gated Community Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Gated Community Apartment,1761,3,3,14,6,6,"[""24/7 Security"", ""Intercom"", ""Swimming Pool"", ""Covered Car Parking"", ""Gymnasium"", ""Clubhouse""]",6,True,False,True,True,True,True,13.0825,80.20373,14200,14669,25832109,25832109,60275,2.8,94,22,86,42,48,Active,2026-03-19
1689,2 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1045,2,2,3,2,5,"[""Rainwater Harvesting"", ""Gymnasium""]",2,False,False,False,True,False,False,12.85865,80.24671,9200,10136,10592120,10592120,28246,3.2,75,68,69,52,90,Active,2026-05-19
1690,2 BHK Independent House in Velachery,2,Velachery,velachery,Chennai,Independent House,2860,2,2,14,1,3,"[""Rainwater Harvesting"", ""Intercom"", ""Children Play Area""]",3,False,False,False,False,False,False,12.98616,80.22182,7800,6726,19236360,19236360,73739,4.6,82,78,79,62,75,Active,2026-04-26
1691,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1409,3,2,1,13,18,"[""Intercom""]",1,False,False,False,False,False,False,12.84795,80.27121,9200,9348,13171332,13829899,35124,3.2,75,68,69,52,90,Sold,2026-04-09
1692,2 BHK Gated Community Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Gated Community Apartment,968,2,2,2,18,18,"[""Gymnasium"", ""Swimming Pool"", ""EV Charging Station"", ""Clubhouse"", ""24/7 Security"", ""Covered Car Parking""]",6,True,False,True,True,True,True,12.89615,80.23902,6200,7670,7424560,7276069,25367,4.1,88,45,68,82,115,Sold,2026-03-02
1693,4 BHK Villa in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Villa,4367,4,4,6,1,2,"[""Clubhouse"", ""Power Backup"", ""Covered Car Parking"", ""Gymnasium"", ""Rainwater Harvesting"", ""24/7 Security""]",6,True,True,True,True,False,True,12.88463,80.23597,6200,8095,35350865,35350865,120782,4.1,88,45,68,82,115,Active,2026-03-15
1694,2 BHK Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Apartment,910,2,2,13,10,11,"[""24/7 Security"", ""Children Play Area"", ""Clubhouse""]",3,False,False,True,False,False,True,12.8781,80.23754,6200,5579,5076890,4975352,17346,4.1,88,45,68,82,115,Active,2026-01-06
1695,4 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,2204,4,4,11,1,8,"[""Swimming Pool"", ""Power Backup"", ""Intercom""]",3,False,True,False,False,True,False,12.96226,80.22626,7800,7018,15467672,14848965,59293,4.6,82,78,79,62,75,Sold,2026-01-18
1696,4 BHK Penthouse in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Penthouse,3994,4,5,7,24,24,"[""Rainwater Harvesting"", ""Gymnasium"", ""Swimming Pool""]",3,False,False,False,True,True,False,12.86126,80.23771,9200,12169,48602986,46658867,129608,3.2,75,68,69,52,90,Active,2026-05-25
1697,4 BHK Apartment in Perungudi,10,Perungudi,perungudi,Chennai,Apartment,2124,4,4,0,4,7,"[""Rainwater Harvesting""]",1,False,False,False,False,False,False,12.94115,80.25021,7500,7428,15777072,15145989,59164,4.5,86,58,77,60,72,Active,2026-07-24
1698,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,970,2,2,6,8,8,"[""Rainwater Harvesting"", ""Intercom"", ""EV Charging Station"", ""Covered Car Parking""]",4,True,False,False,False,False,False,12.99859,80.24713,15800,14791,14347270,15495052,31086,2.6,93,38,88,38,42,Active,2026-04-01
1699,3 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,1624,3,3,13,3,21,"[""24/7 Security"", ""Children Play Area"", ""Power Backup"", ""Swimming Pool""]",4,False,True,True,False,True,False,12.8563,80.23517,9200,7838,12728912,12219756,33944,3.2,75,68,69,52,90,Sold,2026-05-27
1700,3 BHK Independent House in Perungudi,10,Perungudi,perungudi,Chennai,Independent House,1997,3,3,15,1,1,"[""Gymnasium""]",1,False,False,False,True,False,False,12.96179,80.24845,7500,6250,12481250,13479750,46805,4.5,86,58,77,60,72,Active,2026-04-03
1701,2 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,893,2,2,11,2,14,"[""Covered Car Parking"", ""Intercom"", ""Clubhouse""]",3,True,False,False,False,False,True,12.97033,80.22281,7800,7163,6396559,6716387,24520,4.6,82,78,79,62,75,Active,2026-03-05
1702,2 BHK Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Apartment,983,2,2,11,1,4,"[""Covered Car Parking"", ""Power Backup""]",2,True,True,False,False,False,False,12.89383,80.23441,6200,5178,5089974,5089974,17391,4.1,88,45,68,82,115,Active,2026-01-15
1703,3 BHK Independent House in Guindy,6,Guindy,guindy,Chennai,Independent House,2125,3,3,20,1,2,"[""Children Play Area"", ""Rainwater Harvesting"", ""EV Charging Station""]",3,False,False,False,False,False,False,13.00571,80.19666,11500,9340,19847500,19450550,64504,3.9,96,30,78,45,52,Active,2026-01-02
1704,2 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1179,2,2,2,2,4,"[""Intercom"", ""Clubhouse"", ""Rainwater Harvesting"", ""Covered Car Parking"", ""Gymnasium"", ""24/7 Security"", ""Power Backup""]",7,True,True,True,True,False,True,12.8649,80.24296,9200,11186,13188294,13847709,35169,3.2,75,68,69,52,90,Active,2026-03-01
1705,4 BHK Gated Community Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Gated Community Apartment,2400,4,3,11,5,5,"[""Gymnasium"", ""EV Charging Station"", ""24/7 Security"", ""Covered Car Parking"", ""Clubhouse"", ""Rainwater Harvesting""]",6,True,False,True,True,False,True,12.91754,80.11932,5100,5415,12996000,13255920,41154,3.8,79,32,84,54,60,Sold,2026-03-21
1706,2 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,931,2,2,14,6,11,"[""Swimming Pool""]",1,False,False,False,False,True,False,13.07772,80.21618,14200,11691,10884321,10884321,25397,2.8,94,22,86,42,48,Sold,2026-05-04
1707,4 BHK Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Apartment,2564,4,4,3,5,7,"[""Gymnasium"", ""Clubhouse"", ""Covered Car Parking"", ""Intercom""]",4,True,False,False,True,False,True,12.8593,80.24298,9200,9229,23663156,24846314,63102,3.2,75,68,69,52,90,Sold,2026-06-28
1708,2 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,866,2,2,5,4,5,"[""Swimming Pool"", ""24/7 Security""]",2,False,False,True,False,True,False,12.91365,80.19014,5400,5211,4512726,4602981,15042,4.0,80,52,82,64,70,Active,2026-01-03
1709,3 BHK Gated Community Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Gated Community Apartment,1814,3,2,0,3,18,"[""Clubhouse"", ""Power Backup""]",2,False,True,False,False,False,True,12.93435,80.12318,5100,5503,9982442,9782793,31611,3.8,79,32,84,54,60,Active,2026-06-14
1710,3 BHK Independent House in Velachery,2,Velachery,velachery,Chennai,Independent House,1612,3,3,22,1,1,"[""Intercom"", ""Covered Car Parking"", ""Swimming Pool""]",3,True,False,False,False,True,False,12.97332,80.21826,7800,5543,8935316,9114022,34252,4.6,82,78,79,62,75,Active,2026-04-25
1711,2 BHK Gated Community Apartment in Guindy,6,Guindy,guindy,Chennai,Gated Community Apartment,1245,2,2,12,5,12,"[""Swimming Pool"", ""24/7 Security"", ""Clubhouse"", ""Gymnasium"", ""Power Backup"", ""Covered Car Parking"", ""Children Play Area""]",7,True,True,True,True,True,True,12.99548,80.20545,11500,11595,14435775,15590637,46916,3.9,96,30,78,45,52,Sold,2026-07-01
1712,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1620,3,2,15,3,4,"[""24/7 Security"", ""EV Charging Station""]",2,False,False,True,False,False,False,12.97514,80.23504,7800,6870,11129400,10906812,42663,4.6,82,78,79,62,75,Sold,2026-03-18
1713,1 BHK Gated Community Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Gated Community Apartment,624,1,1,5,6,21,"[""Gymnasium"", ""Clubhouse"", ""EV Charging Station"", ""Covered Car Parking""]",4,True,False,False,True,False,True,12.92565,80.18607,5400,5922,3695328,3621421,12318,4.0,80,52,82,64,70,Active,2026-01-17
1714,4 BHK Independent House in Medavakkam,7,Medavakkam,medavakkam,Chennai,Independent House,2686,4,4,24,1,2,"[""Clubhouse"", ""Rainwater Harvesting"", ""24/7 Security"", ""Swimming Pool""]",4,False,False,True,False,True,True,12.9167,80.19276,5400,3723,9999978,10499977,33333,4.0,80,52,82,64,70,Active,2026-04-28
1715,2 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,988,2,2,15,10,23,"[""Gymnasium"", ""Clubhouse"", ""Swimming Pool"", ""Covered Car Parking"", ""Rainwater Harvesting""]",5,True,False,False,True,True,True,12.85998,80.25162,9200,8891,8784308,8784308,23425,3.2,75,68,69,52,90,Sold,2026-04-04
1716,2 BHK Gated Community Apartment in ECR (East Coast Road),9,ECR (East Coast Road),ecr,Chennai,Gated Community Apartment,1139,2,2,4,10,19,"[""Power Backup"", ""Covered Car Parking"", ""24/7 Security""]",3,True,True,True,False,False,False,12.85701,80.25147,9200,9566,10895674,10677761,29055,3.2,75,68,69,52,90,Active,2026-03-24
1717,3 BHK Apartment in Medavakkam,7,Medavakkam,medavakkam,Chennai,Apartment,1667,3,2,2,2,7,"[""Children Play Area"", ""24/7 Security"", ""Covered Car Parking""]",3,True,False,True,False,False,False,12.90028,80.18941,5400,5546,9245182,9060278,30817,4.0,80,52,82,64,70,Active,2026-05-26
1718,1 BHK Apartment in Tambaram,3,Tambaram,tambaram,Chennai,Apartment,622,1,1,2,5,12,"[""Gymnasium""]",1,False,False,False,True,False,False,12.92077,80.1445,5100,5052,3142344,3393732,9951,3.8,79,32,84,54,60,Active,2026-04-25
1719,2 BHK Apartment in Anna Nagar,4,Anna Nagar,anna-nagar,Chennai,Apartment,891,2,2,14,5,20,"[""Swimming Pool"", ""Children Play Area""]",2,False,False,False,False,True,False,13.08429,80.2108,14200,12627,11250657,11025644,26252,2.8,94,22,86,42,48,Active,2026-03-22
1720,4 BHK Villa in Perungudi,10,Perungudi,perungudi,Chennai,Villa,4249,4,4,1,1,2,"[""Intercom"", ""24/7 Security"", ""Children Play Area"", ""Rainwater Harvesting"", ""Swimming Pool"", ""Power Backup""]",6,False,True,True,False,True,False,12.97143,80.2469,7500,9493,40335757,41142472,151259,4.5,86,58,77,60,72,Sold,2026-07-01
1721,3 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1383,3,2,5,2,9,"[""24/7 Security"", ""Power Backup"", ""Rainwater Harvesting""]",3,False,True,True,False,False,False,13.00609,80.19025,11500,10968,15168744,14561994,49298,3.9,96,30,78,45,52,Active,2026-02-08
1722,2 BHK Apartment in OMR (Old Mahabalipuram Road),1,OMR (Old Mahabalipuram Road),omr,Chennai,Apartment,1055,2,2,13,3,5,"[""Power Backup""]",1,False,True,False,False,False,False,12.90706,80.24734,6200,5528,5832040,5948681,19926,4.1,88,45,68,82,115,Sold,2026-06-24
1723,3 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1674,3,2,5,2,5,"[""Power Backup""]",1,False,True,False,False,False,False,13.01304,80.25543,15800,15726,26325324,25272311,57038,2.6,93,38,88,38,42,Active,2026-05-27
1724,4 BHK Villa in Perungudi,10,Perungudi,perungudi,Chennai,Villa,2402,4,4,1,1,2,"[""24/7 Security"", ""Swimming Pool"", ""Intercom"", ""Gymnasium"", ""Clubhouse"", ""Power Backup"", ""EV Charging Station"", ""Rainwater Harvesting""]",8,False,True,True,True,True,True,12.94637,80.25146,7500,9808,23558816,22616463,88346,4.5,86,58,77,60,72,Active,2026-04-24
1725,3 BHK Apartment in Velachery,2,Velachery,velachery,Chennai,Apartment,1757,3,3,12,1,5,"[""Covered Car Parking"", ""Swimming Pool""]",2,True,False,False,False,True,False,12.97713,80.21684,7800,7066,12414962,13408159,47591,4.6,82,78,79,62,75,Active,2026-01-19
1726,2 BHK Apartment in Adyar,11,Adyar,adyar,Chennai,Apartment,1175,2,2,10,17,18,"[""Swimming Pool"", ""Gymnasium"", ""Intercom""]",3,False,False,False,True,True,False,13.00933,80.25327,15800,15405,18100875,17738858,39219,2.6,93,38,88,38,42,Active,2026-03-08
1727,2 BHK Apartment in Guindy,6,Guindy,guindy,Chennai,Apartment,1211,2,2,15,1,7,"[""Intercom"", ""Rainwater Harvesting""]",2,False,False,False,False,False,False,12.99956,80.1925,11500,10532,12754252,13774592,41451,3.9,96,30,78,45,52,Active,2026-04-17
